Student,N_count,A_count
1,95,95
2,94,94
3,94,93
4,93,93
5,93,93
6,91,93
7,90,92
8,89,92
9,89,92
10,88,92
11,87,91
12,87,90
13,86,88
14,85,88
15,85,88
16,85,87
17,84,87
18,84,87
19,84,85
20,83,84
21,83,84
22,83,84
23,82,84
24,82,84
25,82,82
26,81,82
27,81,82
28,81,81
29,80,80
30,80,79
31,80,79
32,80,78
33,79,75
34,78,75
35,77,71
36,77,70
37,77,64
38,76,63
39,76,60
40,75,
41,73,
42,72,
43,72,
44,72,
45,71,
46,71,
47,70,
48,69,
49,68,
50,67,
51,67,
52,65,
